Initial Topology,,,,Target Topology,
Switch Name,Switch Role,,,Switch Name,Switch Role
eb01.f01,EB,,,eb01.f01,EB
ssw001.s001.f01,SSW,,,ssw001.s001.f01,SSW
ssw002.s001.f01,SSW,,,ssw002.s001.f01,SSW
ssw003.s001.f01,SSW,,,ssw003.s001.f01,SSW
ssw004.s001.f01,SSW,,,ssw004.s001.f01,SSW
ssw001.s002.f01,SSW,,,ssw001.s002.f01,SSW
ssw002.s002.f01,SSW,,,ssw002.s002.f01,SSW
ssw003.s002.f01,SSW,,,ssw003.s002.f01,SSW
ssw004.s002.f01,SSW,,,ssw004.s002.f01,SSW
ssw001.s003.f01,SSW,,,ssw001.s003.f01,SSW
ssw002.s003.f01,SSW,,,ssw002.s003.f01,SSW
ssw003.s003.f01,SSW,,,ssw003.s003.f01,SSW
ssw004.s003.f01,SSW,,,ssw004.s003.f01,SSW
ssw001.s004.f01,SSW,,,ssw001.s004.f01,SSW
ssw002.s004.f01,SSW,,,ssw002.s004.f01,SSW
ssw003.s004.f01,SSW,,,ssw003.s004.f01,SSW
ssw004.s004.f01,SSW,,,ssw004.s004.f01,SSW
fsw001.p001.f01,FSW,,,fsw001.p001.f01,FSW
fsw001.p002.f01,FSW,,,fsw001.p002.f01,FSW
fsw001.p003.f01,FSW,,,fsw001.p003.f01,FSW
fsw001.p004.f01,FSW,,,fsw001.p004.f01,FSW
fsw002.p001.f01,FSW,,,fsw002.p001.f01,FSW
fsw002.p002.f01,FSW,,,fsw002.p002.f01,FSW
fsw002.p003.f01,FSW,,,fsw002.p003.f01,FSW
fsw002.p004.f01,FSW,,,fsw002.p004.f01,FSW
fsw003.p001.f01,FSW,,,fsw003.p001.f01,FSW
fsw003.p002.f01,FSW,,,fsw003.p002.f01,FSW
fsw003.p003.f01,FSW,,,fsw003.p003.f01,FSW
fsw003.p004.f01,FSW,,,fsw003.p004.f01,FSW
fsw004.p001.f01,FSW,,,fsw004.p001.f01,FSW
fsw004.p002.f01,FSW,,,fsw004.p002.f01,FSW
fsw004.p003.f01,FSW,,,fsw004.p003.f01,FSW
fsw004.p004.f01,FSW,,,fsw004.p004.f01,FSW
rsw.f01,RSW,,,rsw.f01,RSW
ssw001.s001.f02,SSW,,,ssw001.s001.f02,SSW
ssw002.s001.f02,SSW,,,ssw002.s001.f02,SSW
ssw003.s001.f02,SSW,,,ssw003.s001.f02,SSW
ssw004.s001.f02,SSW,,,ssw004.s001.f02,SSW
ssw001.s002.f02,SSW,,,ssw001.s002.f02,SSW
ssw002.s002.f02,SSW,,,ssw002.s002.f02,SSW
ssw003.s002.f02,SSW,,,ssw003.s002.f02,SSW
ssw004.s002.f02,SSW,,,ssw004.s002.f02,SSW
ssw001.s003.f02,SSW,,,ssw001.s003.f02,SSW
ssw002.s003.f02,SSW,,,ssw002.s003.f02,SSW
ssw003.s003.f02,SSW,,,ssw003.s003.f02,SSW
ssw004.s003.f02,SSW,,,ssw004.s003.f02,SSW
ssw001.s004.f02,SSW,,,ssw001.s004.f02,SSW
ssw002.s004.f02,SSW,,,ssw002.s004.f02,SSW
ssw003.s004.f02,SSW,,,ssw003.s004.f02,SSW
ssw004.s004.f02,SSW,,,ssw004.s004.f02,SSW
fsw001.p001.f02,FSW,,,fsw001.p001.f02,FSW
fsw001.p002.f02,FSW,,,fsw001.p002.f02,FSW
fsw001.p003.f02,FSW,,,fsw001.p003.f02,FSW
fsw001.p004.f02,FSW,,,fsw001.p004.f02,FSW
fsw002.p001.f02,FSW,,,fsw002.p001.f02,FSW
fsw002.p002.f02,FSW,,,fsw002.p002.f02,FSW
fsw002.p003.f02,FSW,,,fsw002.p003.f02,FSW
fsw002.p004.f02,FSW,,,fsw002.p004.f02,FSW
fsw003.p001.f02,FSW,,,fsw003.p001.f02,FSW
fsw003.p002.f02,FSW,,,fsw003.p002.f02,FSW
fsw003.p003.f02,FSW,,,fsw003.p003.f02,FSW
fsw003.p004.f02,FSW,,,fsw003.p004.f02,FSW
fsw004.p001.f02,FSW,,,fsw004.p001.f02,FSW
