switch type
fsw003.p009.f02 FSW
fa003-du012.f02 FADU
fa003-du011.f02 FADU
fa004-uu001.f02 FAUU
fsw002.p004.f02 FSW
ssw024.s003.f02 SSW
fsw001.p007.f02 FSW
fsw003.p002.f01 FSW
fsw003.p029.f02 FSW
fsw002.p002.f02 FSW
fsw003.p026.f02 FSW
fsw004.p032.f02 FSW
fsw004.p023.f01 FSW
fsw002.p011.f02 FSW
fsw003.p003.f02 FSW
fsw004.p014.f02 FSW
ssw008.s003.f01 SSW
ssw016.s004.f01 SSW
fa004-du003.f01 FADU
fsw001.p016.f02 FSW
fa002-du005.f01 FADU
ssw002.s003.f01 SSW
fa004-du012.f02 FADU
fa004-du010.f01 FADU
fsw004.p010.f01 FSW
ssw015.s001.f01 SSW
ssw024.s004.f02 SSW
fsw004.p013.f02 FSW
fsw001.p019.f02 FSW
fsw003.p010.f01 FSW
fa002-uu003.f01 FAUU
ssw014.s001.f02 SSW
fsw003.p001.f02 FSW
ssw003.s003.f02 SSW
fa003-uu001.f01 FAUU
ssw022.s002.f01 SSW
fsw001.p018.f01 FSW
fsw002.p016.f02 FSW
fsw004.p019.f01 FSW
fsw001.p018.f02 FSW
fsw002.p014.f02 FSW
fa001-du009.f01 FADU
ssw010.s003.f01 SSW
fsw001.p010.f02 FSW
fa002-du004.f02 FADU
fa003-du007.f02 FADU
fsw001.p025.f01 FSW
ssw009.s004.f01 SSW
fa003-uu002.f02 FAUU
fsw004.p018.f02 FSW
ssw016.s002.f02 SSW
fa002-du012.f01 FADU
fa004-du003.f02 FADU
fsw002.p007.f01 FSW
ssw024.s001.f02 SSW
ssw002.s004.f01 SSW
fsw001.p013.f01 FSW
fsw004.p005.f02 FSW
fa003-du010.f01 FADU
ssw014.s004.f01 SSW
fa004-du006.f01 FADU
ssw009.s004.f02 SSW
ssw009.s002.f02 SSW
fsw001.p031.f02 FSW
ssw016.s003.f02 SSW
fsw003.p028.f01 FSW
fa001-du005.f02 FADU
fa001-du012.f01 FADU
ssw007.s004.f02 SSW
fsw004.p028.f01 FSW
fa004-du005.f01 FADU
ssw001.s004.f02 SSW
fsw004.p021.f02 FSW
ssw011.s004.f01 SSW
fa002-uu001.f01 FAUU
fsw002.p001.f01 FSW
ssw007.s004.f01 SSW
ssw012.s001.f01 SSW
fsw004.p012.f02 FSW
fsw004.p009.f02 FSW
fsw003.p004.f02 FSW
fsw004.p031.f01 FSW
fa004-uu004.f02 FAUU
ssw023.s004.f02 SSW
fsw004.p004.f01 FSW
ssw006.s002.f02 SSW
ssw008.s001.f01 SSW
fsw001.p021.f02 FSW
ssw006.s002.f01 SSW
fa001-du006.f02 FADU
ssw024.s002.f01 SSW
ssw002.s004.f02 SSW
fsw003.p003.f01 FSW
fsw004.p026.f02 FSW
ssw015.s001.f02 SSW
ssw019.s001.f02 SSW
ssw001.s004.f01 SSW
fsw004.p007.f02 FSW
ssw009.s003.f02 SSW
fa003-du004.f02 FADU
fsw001.p026.f02 FSW
ssw013.s003.f02 SSW
ssw006.s001.f01 SSW
ssw022.s002.f02 SSW
fsw002.p015.f02 FSW
ssw017.s004.f02 SSW
ssw021.s002.f02 SSW
fa004-du007.f01 FADU
ssw019.s001.f01 SSW
fsw003.p015.f02 FSW
fa001-du004.f01 FADU
fsw002.p004.f01 FSW
fsw002.p023.f01 FSW
fsw001.p009.f02 FSW
fa001-du003.f02 FADU
fa001-du010.f02 FADU
ssw004.s002.f01 SSW
fsw004.p010.f02 FSW
ssw008.s004.f01 SSW
fa003-uu003.f01 FAUU
ssw012.s004.f01 SSW
fsw003.p014.f01 FSW
fsw001.p008.f01 FSW
fsw002.p019.f02 FSW
ssw017.s003.f01 SSW
ssw010.s004.f02 SSW
ssw007.s001.f01 SSW
ssw004.s004.f02 SSW
fsw002.p011.f01 FSW
ssw020.s002.f01 SSW
fa001-du011.f01 FADU
fa002-du008.f02 FADU
fsw004.p011.f01 FSW
ssw014.s002.f01 SSW
ssw010.s002.f02 SSW
fa002-uu002.f01 FAUU
ssw002.s002.f01 SSW
fsw001.p011.f02 FSW
fsw004.p015.f02 FSW
fsw001.p013.f02 FSW
ssw007.s002.f01 SSW
fsw002.p012.f01 FSW
fsw001.p023.f01 FSW
fsw002.p024.f01 FSW
fa001-uu001.f01 FAUU
fa003-du005.f01 FADU
fa004-du002.f01 FADU
fsw003.p014.f02 FSW
ssw009.s001.f01 SSW
ssw005.s002.f01 SSW
ssw018.s003.f01 SSW
ssw011.s002.f02 SSW
fsw002.p012.f02 FSW
eb01.f01 EB
fa002-du010.f01 FADU
ssw016.s001.f02 SSW
fsw003.p025.f01 FSW
fsw001.p024.f02 FSW
ssw018.s003.f02 SSW
ssw004.s001.f02 SSW
ssw017.s002.f01 SSW
fsw003.p006.f02 FSW
fsw001.p015.f01 FSW
ssw015.s003.f02 SSW
fa003-uu002.f01 FAUU
fa003-du006.f01 FADU
ssw005.s001.f01 SSW
ssw019.s003.f01 SSW
fsw002.p006.f01 FSW
ssw018.s002.f01 SSW
ssw012.s002.f02 SSW
fsw003.p017.f01 FSW
ssw007.s002.f02 SSW
